left,izquierda
top,"parte superior"
"Show/hide CSS selectors","Mostrar / ocultar selectores CSS"
"Swissup Themes Editor","Swissup Themes Editor"
"Argento Essence","Esencia Argento"
Buttons,Botones
"Primary Buttons","Botones primarios"
Background,Antecedentes
"Font Color","Color de fuente"
"Hover State Background","Fondo de estado de desplazamiento"
"Hover State Font Color","Color de fuente de estado de desplazamiento"
"Other Buttons","Otros botones"
"Hover Background","Fondo flotante"
"Hover Font Color","Pase el color de fuente"
Fonts,Fuentes
"Font Family","Familia tipográfica"
Color,Color
"Product name link in listing","Enlace del nombre del producto en el listado"
"Hover Color","Color de libración"
"Top toolbar container","Contenedor de barra de herramientas superior"
Repeat,Repetir
"Text Color","Color de texto"
"Links Color","Color de enlaces"
"Bottom toolbar container","Contenedor de barra de herramientas inferior"
"Additional css","CSS adicional"
"Css styles","Estilos CSS"
"Cart counter background color","Color de fondo del mostrador del carrito"
Navigation,Navegación
"Menu item dividers","Divisores de elementos de menú"
"Left divider","Divisor izquierdo"
"Right divider","Divisor derecho"
"Top level links","Enlaces de nivel superior"
"Font Size","Tamaño de fuente"
"Text transform","Transformación de texto"
"Hover state font color","Color de fuente del estado de desplazamiento"
"Active state font color","Color de fuente de estado activo"
"Top level arrows","Flechas de nivel superior"
"Links from the rest of the levels","Enlaces del resto de los niveles."
"Background color","Color de fondo"
"Hover state background color","Color de fondo del estado de desplazamiento"
"Active state background color","Color de fondo del estado activo"
"Rest of the levels arrows","Resto de las flechas de niveles"
"Body background","Fondo del cuerpo"
"Page wrapper","Envoltura de página"
Max-width,"Anchura máxima"
"Content wrapper","Contenedor de contenido"
"Product and Homepage Tabs","Pestañas de producto y página de inicio"
Padding,Relleno
Font-family,"Familia tipográfica"
"Font size","Tamaño de fuente"
"Font weight","Peso de la fuente"
transform,transformar
"Background Color","Color de fondo"
"Font color","Color de fuente"
"Border color","Color del borde"
"Hover state","Estado de desplazamiento"
"Active state","Estado activo"
"Argento Luxury","Argento Luxury"
"Border Color","Color del borde"
"Hover State Border Color","Coloca el color del borde del estado"
"Titles Color","Color de títulos"
"Border bottom","Borde inferior"
Shadow,Sombra
"Enable Fullscreen Slider","Habilitar control deslizante de pantalla completa"
"Homepage logo","Logotipo de la página de inicio"
"Argento Pure2","Argento Pure2"
"Inverted Primary Buttons (Add to Cart, Checkout)","Botones primarios invertidos (Agregar al carrito, pagar)"
"Argento Flat","Argento Flat"
"Argento Mall","Centro comercial Argento"
"Header background color","Color de fondo del encabezado"
"Product Tabs","Fichas de producto"
"Argento Stripes","Rayas Argento"
"""Add to Wish List"" and ""Add to Compate"" buttons","Botones ""Agregar a la lista de deseos"" y ""Agregar a comparar"""
"Hover State Background Color","Color de fondo del estado de desplazamiento"
"Final price in listing and on product page","Precio final en el listado y en la página del producto"
"Links separator color","Color separador de enlaces"
"Enable sticky menu","Habilitar menú fijo"
"Header background","Fondo del encabezado"
"Header top panel","Encabezado panel superior"
"Text color","Color de texto"
"Border bottom width","Ancho del borde inferior"
"Border bottom style","Estilo de fondo de borde"
"Border bottom color","Color de fondo del borde"
"Arrow color","Color de la flecha"
"Top level ""Departments"" link","Enlace ""Departamentos"" de nivel superior"
"Background image","Imagen de fondo"
"Background repeat","Repetición de fondo"
"Background position","Posición de fondo"
"Hover state arrow color","Color de flecha del estado de desplazamiento"
"Active state arrow color","Color de flecha de estado activo"
"""Departments"" direct children links","""Departamentos"" enlaces directos para niños"
"Search button","Botón de búsqueda"
"Minicart button","Botón Minicart"
"My Account button","Botón Mi cuenta"
"Alternative Logo Image","Imagen alternativa del logotipo"
"This logo is used in some Argento themes","Este logo se usa en algunos temas de Argento"
"Property $themeCode must be specified.","Se debe especificar la propiedad $themeCode."
"Theme Defined","Tema definido"
"Full width","Ancho completo"
"Limited width","Ancho limitado"
"One column","Una columna"
"Two columns (left sidebar)","Dos columnas (barra lateral izquierda)"
"Two columns (right sidebar)","Dos columnas (barra lateral derecha)"
"Three columns","Tres columnas"
"Category Page","Página de categoría"
"Preview page layout","Vista previa de diseño de página"
"Content width","Ancho de contenido"
"Max width","anchura máxima"
"Products list mode","Modo de lista de productos"
"Grid Mode","Modo de cuadrícula"
"Products per Page Allowed Values","Productos por página Valores permitidos"
"Products per Page Default Value","Productos por página Valor predeterminado"
"Must be in the allowed values list","Debe estar en la lista de valores permitidos"
"Columns per Row","Columnas por fila"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Essence it is ""-1"".","<b> Ancho mínimo </b>: ancho mínimo de una pantalla donde se debe aplicar el número de columnas. <br /> <b> Columnas </b>: las columnas se cuentan a sí mismas. <br /> <b> Espaciado </ b > - espaciado entre celdas en la cuadrícula. Para Essence es ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Flat it is ""15"".","<b> Ancho mínimo </b>: ancho mínimo de una pantalla donde se debe aplicar el número de columnas. <br /> <b> Columnas </b>: las columnas se cuentan a sí mismas. <br /> <b> Espaciado </ b > - espaciado entre celdas en la cuadrícula. Para Flat es ""15""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Force it is ""6"".","<b> Ancho mínimo </b>: ancho mínimo de una pantalla donde se debe aplicar el número de columnas. <br /> <b> Columnas </b>: las columnas se cuentan a sí mismas. <br /> <b> Espaciado </ b > - espaciado entre celdas en la cuadrícula. Para Force es ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Luxury it is ""6"".","<b> Ancho mínimo </b>: ancho mínimo de una pantalla donde se debe aplicar el número de columnas. <br /> <b> Columnas </b>: las columnas se cuentan a sí mismas. <br /> <b> Espaciado </ b > - espaciado entre celdas en la cuadrícula. Para lujo es ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Mall it is ""-1"".","<b> Ancho mínimo </b>: ancho mínimo de una pantalla donde se debe aplicar el número de columnas. <br /> <b> Columnas </b>: las columnas se cuentan a sí mismas. <br /> <b> Espaciado </ b > - espaciado entre celdas en la cuadrícula. Para el centro comercial es ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Pure2 it is ""-1"".","<b> Ancho mínimo </b>: ancho mínimo de una pantalla donde se debe aplicar el número de columnas. <br /> <b> Columnas </b>: las columnas se cuentan a sí mismas. <br /> <b> Espaciado </ b > - espaciado entre celdas en la cuadrícula. Para Pure2 es ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Stripes it is ""-1"".","<b> Ancho mínimo </b>: ancho mínimo de una pantalla donde se debe aplicar el número de columnas. <br /> <b> Columnas </b>: las columnas se cuentan a sí mismas. <br /> <b> Espaciado </ b > - espaciado entre celdas en la cuadrícula. Para Stripes es ""-1""."
"List Mode","Modo de lista"
"Product Page","Página del producto"
"On a left side you can see simple page layout. Change config option and you'll see its effect there.","En el lado izquierdo puede ver un diseño de página simple. Cambie la opción de configuración y verá su efecto allí."
"Media block width, %","Ancho del bloque de medios,%"
"Info Main block width, %","Ancho del bloque principal de información,%"
"Width in percents for product info main block.","Ancho en porcentajes para el bloque principal de información del producto."
"Thumbnails Type","Tipo de miniaturas"
"It duplicates <a href=""section/lightboxpro/#lightboxpro_general"">Lightbox Pro config</a>.","Duplica <a href=""section/lightboxpro/#lightboxpro_general""> Lightbox Pro config </a>."
"To Cart Form","Al formulario de carrito"
Tabs,Pestañas
"It duplicates <a href=""section/swissup_easytabs/"">Easytabs config</a>.","Duplica <a href=""section/swissup_easytabs/""> Easytabs config </a>."
"Photo in description tab","Foto en la pestaña de descripción"
"Sticky add to cart","Agregar al carrito"
"Min width, px","Ancho min, px"
Columns,Columnas
"Spacing, px","Espaciado, px"
