left,sinistra
top,superiore
"Show/hide CSS selectors","Mostra / nascondi selettori CSS"
"Swissup Themes Editor","Editor di temi di Swissup"
"Argento Essence","Essenza Argento"
Buttons,pulsanti
"Primary Buttons","Pulsanti primari"
Background,sfondo
"Font Color","Colore del carattere"
"Hover State Background","Hover State Background"
"Hover State Font Color","Colore carattere al passaggio del mouse"
"Other Buttons","Altri pulsanti"
"Hover Background","Hover Background"
"Hover Font Color","Colore carattere al passaggio del mouse"
Fonts,Caratteri
"Font Family","Famiglia di font"
Color,Colore
"Product name link in listing","Link al nome del prodotto nell'elenco"
"Hover Color","Hover Color"
"Top toolbar container","Contenitore della barra degli strumenti superiore"
Repeat,Ripetere
"Text Color","Colore del testo"
"Links Color","Link a colori"
"Bottom toolbar container","Contenitore barra degli strumenti inferiore"
"Additional css","CSS aggiuntivo"
"Css styles","Stili CSS"
"Cart counter background color","Carrello contro colore di sfondo"
Navigation,Navigazione
"Menu item dividers","Divisori delle voci di menu"
"Left divider","Divisore sinistro"
"Right divider","Divisore destro"
"Top level links","Link di alto livello"
"Font Size","Dimensione del font"
"Text transform","Trasformazione del testo"
"Hover state font color","Colore del carattere dello stato al passaggio del mouse"
"Active state font color","Colore carattere stato attivo"
"Top level arrows","Frecce di livello superiore"
"Links from the rest of the levels","Collegamenti dal resto dei livelli"
"Background color","Colore di sfondo"
"Hover state background color","Colore dello sfondo dello stato al passaggio del mouse"
"Active state background color","Colore di sfondo dello stato attivo"
"Rest of the levels arrows","Resto delle frecce dei livelli"
"Body background","Sfondo del corpo"
"Page wrapper","Wrapper di pagina"
Max-width,"Larghezza massima"
"Content wrapper","Wrapper contenuto"
"Product and Homepage Tabs","Schede prodotto e homepage"
Padding,Imbottitura
Font-family,"Famiglia di font"
"Font size","Dimensione del font"
"Font weight","Peso del carattere"
transform,trasformare
"Background Color","Colore di sfondo"
"Font color","Colore del carattere"
"Border color","Colore del bordo"
"Hover state","Hover state"
"Active state","Stato attivo"
"Argento Luxury","Argento di lusso"
"Border Color","Colore del bordo"
"Hover State Border Color","Hover State Border Color"
"Titles Color","Titoli a colori"
"Border bottom","Bordo inferiore"
Shadow,Ombra
"Enable Fullscreen Slider","Abilita cursore a schermo intero"
"Homepage logo","Logo della homepage"
"Argento Pure2","Argento Pure2"
"Inverted Primary Buttons (Add to Cart, Checkout)","Pulsanti primari invertiti (Aggiungi al carrello, Acquista)"
"Argento Flat","Argento piatto"
"Argento Mall","Argento Mall"
"Header background color","Colore di sfondo dell'intestazione"
"Product Tabs","Schede prodotto"
"Argento Stripes","Strisce Argento"
"""Add to Wish List"" and ""Add to Compate"" buttons","Pulsanti ""Aggiungi alla lista dei desideri"" e ""Aggiungi alla lista"""
"Hover State Background Color","Hover State Colore di sfondo"
"Final price in listing and on product page","Prezzo finale in elenco e nella pagina del prodotto"
"Links separator color","Collega il colore del separatore"
"Enable sticky menu","Abilita menu appiccicoso"
"Header background","Sfondo di intestazione"
"Header top panel","Pannello superiore dell'intestazione"
"Text color","Colore del testo"
"Border bottom width","Larghezza inferiore del bordo"
"Border bottom style","Stile bordo inferiore"
"Border bottom color","Colore fondo bordo"
"Arrow color","Colore della freccia"
"Top level ""Departments"" link","Link ""Dipartimenti"" di primo livello"
"Background image","Immagine di sfondo"
"Background repeat","Ripetizione in background"
"Background position","Posizione di sfondo"
"Hover state arrow color","Colore della freccia dello stato al passaggio del mouse"
"Active state arrow color","Colore della freccia dello stato attivo"
"""Departments"" direct children links","Link diretti ai bambini ""Dipartimenti"""
"Search button","Pulsante di ricerca"
"Minicart button","Pulsante Minicart"
"My Account button","Pulsante Account personale"
"Alternative Logo Image","Immagine alternativa del logo"
"This logo is used in some Argento themes","Questo logo è utilizzato in alcuni temi Argento"
"Property $themeCode must be specified.","È necessario specificare la proprietà $themeCode."
"Theme Defined","Tema definito"
"Full width","Intera larghezza"
"Limited width","Larghezza limitata"
"One column","Una colonna"
"Two columns (left sidebar)","Due colonne (barra laterale sinistra)"
"Two columns (right sidebar)","Due colonne (barra laterale destra)"
"Three columns","Tre colonne"
"Category Page","Pagina categoria"
"Preview page layout","Anteprima del layout della pagina"
"Content width","Larghezza del contenuto"
"Max width","larghezza massima"
"Products list mode","Modalità elenco prodotti"
"Grid Mode","Modalità griglia"
"Products per Page Allowed Values","Prodotti per pagina Valori consentiti"
"Products per Page Default Value","Prodotti per pagina Valore predefinito"
"Must be in the allowed values list","Deve essere nell'elenco dei valori consentiti"
"Columns per Row","Colonne per riga"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Essence it is ""-1"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Essence è ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Flat it is ""15"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Flat è ""15""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Force it is ""6"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Force è ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Luxury it is ""6"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per il lusso è ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Mall it is ""-1"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Mall è ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Pure2 it is ""-1"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Pure2 è ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Stripes it is ""-1"".","<b> Larghezza minima </b>: larghezza minima di una schermata in cui è necessario applicare il numero di colonne. <br /> <b> Colonne </b>: le colonne contano se stesse. <br /> <b> Spaziatura </ b > - spaziatura tra celle nella griglia. Per Stripes è ""-1""."
"List Mode","Modalità elenco"
"Product Page","Pagina del prodotto"
"On a left side you can see simple page layout. Change config option and you'll see its effect there.","Sul lato sinistro puoi vedere un semplice layout di pagina. Cambia l'opzione di configurazione e vedrai il suo effetto lì."
"Media block width, %","Larghezza del blocco multimediale,%"
"Info Main block width, %","Info Larghezza blocco principale,%"
"Width in percents for product info main block.","Larghezza in percentuale per blocco principale informazioni prodotto."
"Thumbnails Type","Tipo di miniature"
"It duplicates <a href=""section/lightboxpro/#lightboxpro_general"">Lightbox Pro config</a>.","Duplica <a href=""section/lightboxpro/#lightboxpro_general""> Configurazione lightbox </a>."
"To Cart Form","Al carrello"
Tabs,Tabs
"It duplicates <a href=""section/swissup_easytabs/"">Easytabs config</a>.","Duplica <a href=""section/swissup_easytabs/""> Easytabs config </a>."
"Photo in description tab","Foto nella scheda descrizione"
"Sticky add to cart","Appiccicoso aggiungi al carrello"
"Min width, px","Larghezza minima, px"
Columns,colonne
"Spacing, px","Spaziatura, px"
