left,왼쪽
top,상단
"Show/hide CSS selectors","CSS 선택기 표시 / 숨기기"
"Swissup Themes Editor","Swissup 테마 편집기"
"Argento Essence","아르젠토 에센스"
Buttons,버튼
"Primary Buttons","기본 버튼"
Background,배경
"Font Color","폰트 색깔"
"Hover State Background","호버 주 배경"
"Hover State Font Color","호버 상태 글꼴 색상"
"Other Buttons","다른 버튼"
"Hover Background","호버 배경"
"Hover Font Color","호버 글꼴 색상"
Fonts,폰트
"Font Family","폰트 패밀리"
Color,색깔
"Product name link in listing","목록의 제품 이름 링크"
"Hover Color","호버 색상"
"Top toolbar container","상단 툴바 컨테이너"
Repeat,반복
"Text Color","글자 색"
"Links Color","링크 색상"
"Bottom toolbar container","하단 툴바 컨테이너"
"Additional css","추가 CSS"
"Css styles","CSS 스타일"
"Cart counter background color","카트 카운터 배경색"
Navigation,항해
"Menu item dividers","메뉴 항목 구분선"
"Left divider","왼쪽 분배기"
"Right divider","오른쪽 분배기"
"Top level links","최상위 링크"
"Font Size","폰트 크기"
"Text transform","텍스트 변환"
"Hover state font color","호버 상태 글꼴 색상"
"Active state font color","활성 상태 글꼴 색상"
"Top level arrows","최상위 화살표"
"Links from the rest of the levels","나머지 레벨의 링크"
"Background color",배경색
"Hover state background color","호버 상태 배경색"
"Active state background color","활성 상태 배경색"
"Rest of the levels arrows","나머지 레벨 화살표"
"Body background","몸 배경"
"Page wrapper","페이지 랩퍼"
Max-width,"최대 폭"
"Content wrapper","내용 포장지"
"Product and Homepage Tabs","제품 및 홈페이지 탭"
Padding,심
Font-family,"폰트 패밀리"
"Font size","폰트 사이즈"
"Font weight","폰트 무게"
transform,변환
"Background Color",배경색
"Font color","폰트 색깔"
"Border color","테두리 색"
"Hover state","호버 상태"
"Active state","활성 상태"
"Argento Luxury","아르젠토 럭셔리"
"Border Color","테두리 색"
"Hover State Border Color","호버 주 경계 색상"
"Titles Color","타이틀 색상"
"Border bottom","테두리 하단"
Shadow,그림자
"Enable Fullscreen Slider","전체 화면 슬라이더 사용"
"Homepage logo","홈페이지 로고"
"Argento Pure2","아르젠토 퓨어 2"
"Inverted Primary Buttons (Add to Cart, Checkout)","거꾸로 된 기본 버튼 (장바구니에 추가, 결제)"
"Argento Flat","아르젠토 플랫"
"Argento Mall","아르젠토 몰"
"Header background color","헤더 배경색"
"Product Tabs","제품 탭"
"Argento Stripes","아르헨티나 줄무늬"
"""Add to Wish List"" and ""Add to Compate"" buttons","""위시리스트에 추가""및 ""계산에 추가""버튼"
"Hover State Background Color","호버 상태 배경색"
"Final price in listing and on product page","리스팅 및 제품 페이지의 최종 가격"
"Links separator color","구분자 색상 링크"
"Enable sticky menu","스티커 메뉴 사용"
"Header background","헤더 배경"
"Header top panel","헤더 상단 패널"
"Text color","글자 색"
"Border bottom width","테두리 하단 너비"
"Border bottom style","테두리 하단 스타일"
"Border bottom color","테두리 하단 색상"
"Arrow color","화살표 색"
"Top level ""Departments"" link","최상위 ""부서""링크"
"Background image","배경 이미지"
"Background repeat","백그라운드 반복"
"Background position","배경 위치"
"Hover state arrow color","호버 상태 화살표 색상"
"Active state arrow color","활성 상태 화살표 색"
"""Departments"" direct children links","""부서""는 직접 어린이 링크를 연결합니다"
"Search button","검색 버튼"
"Minicart button","미니 카트 버튼"
"My Account button","내 계정 버튼"
"Alternative Logo Image","대체 로고 이미지"
"This logo is used in some Argento themes","이 로고는 일부 Argento 테마에서 사용됩니다"
"Property $themeCode must be specified.","$themeCode 특성을 지정해야합니다."
"Theme Defined","테마 정의"
"Full width","전체 넓이"
"Limited width","제한된 폭"
"One column","하나의 열"
"Two columns (left sidebar)","두 개의 열 (왼쪽 사이드 바)"
"Two columns (right sidebar)","두 개의 열 (오른쪽 사이드 바)"
"Three columns","세 개의 열"
"Category Page","카테고리 페이지"
"Preview page layout","미리보기 페이지 레이아웃"
"Content width","내용 폭"
"Max width","최대 폭"
"Products list mode","제품 목록 모드"
"Grid Mode","그리드 모드"
"Products per Page Allowed Values","페이지 당 제품 허용 값"
"Products per Page Default Value","페이지 당 제품 기본값"
"Must be in the allowed values list","허용 된 값 목록에 있어야합니다"
"Columns per Row","행당 열"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Essence it is ""-1"".","<b> 최소 너비 </ b>-열 번호를 적용해야하는 화면의 최소 너비. <br /> <b> 열 </ b>-열 자체 개수. <br /> <b> 간격 </ b >-그리드의 셀 사이 간격. 본질은 ""-1""입니다."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Flat it is ""15"".","<b> 최소 너비 </ b>-열 번호를 적용해야하는 화면의 최소 너비. <br /> <b> 열 </ b>-열 자체 개수. <br /> <b> 간격 </ b >-그리드의 셀 사이 간격. 플랫의 경우 ""15""입니다."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Force it is ""6"".","<b> 최소 너비 </ b>-열 번호를 적용해야하는 화면의 최소 너비. <br /> <b> 열 </ b>-열 자체 개수. <br /> <b> 간격 </ b >-그리드의 셀 사이 간격. Force의 경우 ""6""입니다."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Luxury it is ""6"".","<b> 최소 너비 </ b>-열 번호를 적용해야하는 화면의 최소 너비. <br /> <b> 열 </ b>-열 자체 개수. <br /> <b> 간격 </ b >-그리드의 셀 사이 간격. 럭셔리의 경우 ""6""입니다."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Mall it is ""-1"".","<b> 최소 너비 </ b>-열 번호를 적용해야하는 화면의 최소 너비. <br /> <b> 열 </ b>-열 자체 개수. <br /> <b> 간격 </ b >-그리드의 셀 사이 간격. Mall의 경우 ""-1""입니다."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Pure2 it is ""-1"".","<b> 최소 너비 </ b>-열 번호를 적용해야하는 화면의 최소 너비. <br /> <b> 열 </ b>-열 자체 개수. <br /> <b> 간격 </ b >-그리드의 셀 사이 간격. Pure2의 경우 ""-1""입니다."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Stripes it is ""-1"".","<b> 최소 너비 </ b>-열 번호를 적용해야하는 화면의 최소 너비. <br /> <b> 열 </ b>-열 자체 개수. <br /> <b> 간격 </ b >-그리드의 셀 사이 간격. 줄무늬의 경우 ""-1""입니다."
"List Mode","리스트 모드"
"Product Page","제품 페이지"
"On a left side you can see simple page layout. Change config option and you'll see its effect there.","왼쪽에는 간단한 페이지 레이아웃이 있습니다. 구성 옵션을 변경하면 그 효과가 나타납니다."
"Media block width, %","미디어 블록 너비, %"
"Info Main block width, %","정보 메인 블록 너비, %"
"Width in percents for product info main block.","제품 정보 메인 블록의 너비 (%)입니다."
"Thumbnails Type","썸네일 유형"
"It duplicates <a href=""section/lightboxpro/#lightboxpro_general"">Lightbox Pro config</a>.","<a href=""section/lightboxpro/#lightboxpro_general""> Lightbox Pro 구성 </a>과 중복됩니다."
"To Cart Form","장바구니 양식"
Tabs,탭
"It duplicates <a href=""section/swissup_easytabs/"">Easytabs config</a>.","<a href=""section/swissup_easytabs/""> Easytabs 구성 </a>을 복제합니다."
"Photo in description tab","설명 탭의 사진"
"Sticky add to cart","스티커 장바구니에 추가"
"Min width, px","최소 너비, px"
Columns,열
"Spacing, px","간격, px"
