left,esquerda
top,topo
"Show/hide CSS selectors","Mostrar / ocultar seletores CSS"
"Swissup Themes Editor","Swissup Themes Editor"
"Argento Essence","Argento Essence"
Buttons,Botões
"Primary Buttons","Botões primários"
Background,fundo
"Font Color","Cor da fonte"
"Hover State Background","Passar o estado do plano de fundo"
"Hover State Font Color","Cor da fonte do estado do foco do mouse"
"Other Buttons","Outros botões"
"Hover Background","Passe o cursor sobre o fundo"
"Hover Font Color","Cor da fonte em foco"
Fonts,Fontes
"Font Family","Família de fontes"
Color,Cor
"Product name link in listing","Link do nome do produto na listagem"
"Hover Color","Cor do cursor"
"Top toolbar container","Recipiente da barra de ferramentas superior"
Repeat,Repetir
"Text Color","Cor do texto"
"Links Color","Cor dos links"
"Bottom toolbar container","Recipiente da barra de ferramentas inferior"
"Additional css","CSS adicionais"
"Css styles","Estilos CSS"
"Cart counter background color","Cor do plano de fundo do contador do carrinho"
Navigation,Navegação
"Menu item dividers","Divisores de itens de menu"
"Left divider","Divisor esquerdo"
"Right divider","Divisor direito"
"Top level links","Links de nível superior"
"Font Size","Tamanho da fonte"
"Text transform","Transformação de texto"
"Hover state font color","Cor da fonte do estado de foco"
"Active state font color","Cor da fonte do estado ativo"
"Top level arrows","Setas de nível superior"
"Links from the rest of the levels","Links do restante dos níveis"
"Background color","Cor de fundo"
"Hover state background color","Cor do plano de fundo do estado de foco"
"Active state background color","Cor de fundo do estado ativo"
"Rest of the levels arrows","Resto das setas de níveis"
"Body background","Fundo do corpo"
"Page wrapper","Wrapper de página"
Max-width,"Largura máxima"
"Content wrapper","Wrapper de conteúdo"
"Product and Homepage Tabs","Guias de produto e página inicial"
Padding,Preenchimento
Font-family,"Família de fontes"
"Font size","Tamanho da fonte"
"Font weight","Espessura da fonte"
transform,transformar
"Background Color","Cor de fundo"
"Font color","Cor da fonte"
"Border color","Cor da borda"
"Hover state","Estado de foco"
"Active state","Estado ativo"
"Argento Luxury","Argento Luxury"
"Border Color","Cor da borda"
"Hover State Border Color","Cor da borda do estado de foco"
"Titles Color","Cor dos títulos"
"Border bottom","Borda inferior"
Shadow,Sombra
"Enable Fullscreen Slider","Ativar controle deslizante de tela cheia"
"Homepage logo","Logotipo da página inicial"
"Argento Pure2","Argento Pure2"
"Inverted Primary Buttons (Add to Cart, Checkout)","Botões primários invertidos (Adicionar ao carrinho, Finalizar compra)"
"Argento Flat","Argento Flat"
"Argento Mall","Argento Mall"
"Header background color","Cor do plano de fundo do cabeçalho"
"Product Tabs","Guias do produto"
"Argento Stripes","Argento Stripes"
"""Add to Wish List"" and ""Add to Compate"" buttons","Botões ""Adicionar à lista de desejos"" e ""Adicionar à compilação"""
"Hover State Background Color","Cor do plano de fundo do estado de foco"
"Final price in listing and on product page","Preço final na lista e na página do produto"
"Links separator color","Cor do separador de links"
"Enable sticky menu","Ativar menu fixo"
"Header background","Fundo do cabeçalho"
"Header top panel","Painel superior do cabeçalho"
"Text color","Cor do texto"
"Border bottom width","Largura inferior da borda"
"Border bottom style","Estilo da borda inferior"
"Border bottom color","Cor da borda inferior"
"Arrow color","Cor da seta"
"Top level ""Departments"" link","Link ""Departamentos"" de nível superior"
"Background image","Imagem de fundo"
"Background repeat","Fundo de repetição"
"Background position","Posição de fundo"
"Hover state arrow color","Cor da seta do estado de foco"
"Active state arrow color","Cor da seta do estado ativo"
"""Departments"" direct children links","""Departamentos"" links diretos para crianças"
"Search button","Botão Pesquisar"
"Minicart button","Botão Minicart"
"My Account button","Botão Minha conta"
"Alternative Logo Image","Imagem alternativa do logotipo"
"This logo is used in some Argento themes","Este logotipo é usado em alguns temas do Argento"
"Property $themeCode must be specified.","A propriedade $themeCode deve ser especificada."
"Theme Defined","Tema definido"
"Full width","Largura completa"
"Limited width","Largura limitada"
"One column","Uma coluna"
"Two columns (left sidebar)","Duas colunas (barra lateral esquerda)"
"Two columns (right sidebar)","Duas colunas (barra lateral direita)"
"Three columns","Três colunas"
"Category Page","Página da categoria"
"Preview page layout","Layout da página de visualização"
"Content width","Largura do conteúdo"
"Max width","largura máxima"
"Products list mode","Modo de lista de produtos"
"Grid Mode","Modo de grade"
"Products per Page Allowed Values","Produtos por página Valores permitidos"
"Products per Page Default Value","Produtos por valor padrão da página"
"Must be in the allowed values list","Deve estar na lista de valores permitidos"
"Columns per Row","Colunas por Linha"
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Essence it is ""-1"".","<b> Largura mínima </b> - largura mínima de uma tela onde o número de colunas deve ser aplicado. <br /> <b> Colunas </b> - as colunas contam em si. <br /> <b> Espaçamento </ b > - espaçamento entre células na grade. Para Essência, é ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Flat it is ""15"".","<b> Largura mínima </b> - largura mínima de uma tela onde o número de colunas deve ser aplicado. <br /> <b> Colunas </b> - as colunas contam em si. <br /> <b> Espaçamento </ b > - espaçamento entre células na grade. Para Flat é ""15""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Force it is ""6"".","<b> Largura mínima </b> - largura mínima de uma tela onde o número de colunas deve ser aplicado. <br /> <b> Colunas </b> - as colunas contam em si. <br /> <b> Espaçamento </ b > - espaçamento entre células na grade. For Force é ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Luxury it is ""6"".","<b> Largura mínima </b> - largura mínima de uma tela onde o número de colunas deve ser aplicado. <br /> <b> Colunas </b> - as colunas contam em si. <br /> <b> Espaçamento </ b > - espaçamento entre células na grade. Para luxo é ""6""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Mall it is ""-1"".","<b> Largura mínima </b> - largura mínima de uma tela onde o número de colunas deve ser aplicado. <br /> <b> Colunas </b> - as colunas contam em si. <br /> <b> Espaçamento </ b > - espaçamento entre células na grade. Para o Mall, é ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Pure2 it is ""-1"".","<b> Largura mínima </b> - largura mínima de uma tela onde o número de colunas deve ser aplicado. <br /> <b> Colunas </b> - as colunas contam em si. <br /> <b> Espaçamento </ b > - espaçamento entre células na grade. Para Pure2, é ""-1""."
"<b>Min width</b> - min width of a screen where columns number must be applied.<br /><b>Columns</b> - columns count itself.<br /><b>Spacing</b> - spacing between cells in grid. For Stripes it is ""-1"".","<b> Largura mínima </b> - largura mínima de uma tela onde o número de colunas deve ser aplicado. <br /> <b> Colunas </b> - as colunas contam em si. <br /> <b> Espaçamento </ b > - espaçamento entre células na grade. Para listras, é ""-1""."
"List Mode","Modo de lista"
"Product Page","Página do produto"
"On a left side you can see simple page layout. Change config option and you'll see its effect there.","No lado esquerdo, você pode ver o layout da página simples. Mude a opção de configuração e você verá seu efeito lá."
"Media block width, %","Largura do bloco de mídia,%"
"Info Main block width, %","Info Largura do bloco principal,%"
"Width in percents for product info main block.","Largura em porcentagens para o bloco principal de informações do produto."
"Thumbnails Type","Tipo de miniaturas"
"It duplicates <a href=""section/lightboxpro/#lightboxpro_general"">Lightbox Pro config</a>.","Duplica <a href=""section/lightboxpro/#lightboxpro_general""> Configuração do Lightbox Pro </a>."
"To Cart Form","Para carrinho Form"
Tabs,Guias
"It duplicates <a href=""section/swissup_easytabs/"">Easytabs config</a>.","Duplica <a href=""section/swissup_easytabs/""> Configuração do Easytabs </a>."
"Photo in description tab","Foto na guia Descrição"
"Sticky add to cart","Sticky adicionar ao carrinho"
"Min width, px","Largura mínima, px"
Columns,Colunas
"Spacing, px","Espaçamento, px"
